scraped_at,origin,destination,departure_date,return_date,lowest_price,outbound_airline,inbound_airline,outbound_flight_number,inbound_flight_number,outbound_stops,inbound_stops,outbound_baggage,inbound_baggage,outbound_time,inbound_time,outbound_duration,inbound_duration,url
2026-08-31 15:26:58:561,TPE,NRT,2026-09-01,2026-09-08,"台幣 $10,928(含稅)",台灣虎航,台灣虎航,IT 700,IT 201,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李須加收費用,免費攜帶 1 件手提行李、第 1 件託運行李須加收費用,PM 3:30 ~ PM 7:55,AM 11:50 ~ PM 2:40,3 小時 25 分鐘,3 小時 50 分鐘,https://www.google.com/travel/flights?q=Flights%20to%20NRT%20from%20TPE%20on%202026-09-01%20through%202026-09-08&hl=zh-TW&curr=TWD
2026-08-31 15:27:20:023,TPE,NRT,2026-09-02,2026-09-09,"台幣 $8,154(含稅)",泰國獅航,捷星日本,SL 394,GK 11,直達,直達,免費攜帶 1 件手提行李,免費攜帶 1 件手提行李,PM 12:10 ~ PM 4:30,PM 10:40 ~ AM 1:30,3 小時 20 分鐘,3 小時 50 分鐘,https://www.google.com/travel/flights?q=Flights%20to%20NRT%20from%20TPE%20on%202026-09-02%20through%202026-09-09&hl=zh-TW&curr=TWD
2026-08-31 15:27:38:305,TPE,NRT,2026-09-03,2026-09-10,"台幣 $8,387(含稅)",酷航,酷航,TR 866,TR 875,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李須加收費用,免費攜帶 1 件手提行李、第 1 件託運行李須加收費用,AM 6:45 ~ AM 11:15,PM 9:15 ~ PM 11:55,3 小時 30 分鐘,3 小時 40 分鐘,https://www.google.com/travel/flights?q=Flights%20to%20NRT%20from%20TPE%20on%202026-09-03%20through%202026-09-10&hl=zh-TW&curr=TWD
2026-08-31 15:28:05:766,TPE,NRT,2026-09-04,2026-09-11,"台幣 $10,332(含稅)",泰國獅航,泰國獅航,SL 394,SL 395,直達,直達,免費攜帶 1 件手提行李,免費攜帶 1 件手提行李,PM 12:10 ~ PM 4:30,PM 5:40 ~ PM 8:20,3 小時 20 分鐘,3 小時 40 分鐘,https://www.google.com/travel/flights?q=Flights%20to%20NRT%20from%20TPE%20on%202026-09-04%20through%202026-09-11&hl=zh-TW&curr=TWD
2026-08-31 15:28:33:938,TPE,NRT,2026-09-05,2026-09-12,"台幣 $8,703(含稅)",泰國獅航,泰國獅航,SL 394,SL 395,直達,直達,免費攜帶 1 件手提行李,免費攜帶 1 件手提行李,PM 12:10 ~ PM 4:30,PM 5:40 ~ PM 8:20,3 小時 20 分鐘,3 小時 40 分鐘,https://www.google.com/travel/flights?q=Flights%20to%20NRT%20from%20TPE%20on%202026-09-05%20through%202026-09-12&hl=zh-TW&curr=TWD
2026-08-31 15:28:52:190,TPE,NRT,2026-09-06,2026-09-13,"台幣 $11,528(含稅)",台灣虎航,台灣虎航,IT 200,IT 201,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李須加收費用,免費攜帶 1 件手提行李、第 1 件託運行李須加收費用,AM 6:35 ~ AM 11:00,AM 11:50 ~ PM 2:40,3 小時 25 分鐘,3 小時 50 分鐘,https://www.google.com/travel/flights?q=Flights%20to%20NRT%20from%20TPE%20on%202026-09-06%20through%202026-09-13&hl=zh-TW&curr=TWD
2026-08-31 15:29:18:397,TPE,NRT,2026-09-07,2026-09-14,"台幣 $10,532(含稅)",泰國獅航,泰國獅航,SL 394,SL 395,直達,直達,免費攜帶 1 件手提行李,免費攜帶 1 件手提行李,PM 12:10 ~ PM 4:30,PM 5:40 ~ PM 8:20,3 小時 20 分鐘,3 小時 40 分鐘,https://www.google.com/travel/flights?q=Flights%20to%20NRT%20from%20TPE%20on%202026-09-07%20through%202026-09-14&hl=zh-TW&curr=TWD
2026-08-31 15:29:39:371,TPE,NRT,2026-09-08,2026-09-15,"台幣 $8,235(含稅)",酷航,捷星日本,TR 866,GK 11,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李須加收費用,免費攜帶 1 件手提行李、第 1 件託運行李須加收費用,AM 6:45 ~ AM 11:15,PM 10:40 ~ AM 1:30,3 小時 30 分鐘,3 小時 50 分鐘,https://www.google.com/travel/flights?q=Flights%20to%20NRT%20from%20TPE%20on%202026-09-08%20through%202026-09-15&hl=zh-TW&curr=TWD
2026-08-31 15:29:57:321,TPE,NRT,2026-09-09,2026-09-16,"台幣 $8,380(含稅)",酷航,酷航,TR 866,TR 867,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李須加收費用,免費攜帶 1 件手提行李、第 1 件託運行李須加收費用,AM 6:45 ~ AM 11:15,PM 12:30 ~ PM 3:10,3 小時 30 分鐘,3 小時 40 分鐘,https://www.google.com/travel/flights?q=Flights%20to%20NRT%20from%20TPE%20on%202026-09-09%20through%202026-09-16&hl=zh-TW&curr=TWD
2026-08-31 15:30:18:401,TPE,NRT,2026-09-10,2026-09-17,"台幣 $12,028(含稅)",台灣虎航,台灣虎航,IT 200,IT 201,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李須加收費用,免費攜帶 1 件手提行李、第 1 件託運行李須加收費用,AM 6:35 ~ AM 11:00,AM 11:50 ~ PM 2:40,3 小時 25 分鐘,3 小時 50 分鐘,https://www.google.com/travel/flights?q=Flights%20to%20NRT%20from%20TPE%20on%202026-09-10%20through%202026-09-17&hl=zh-TW&curr=TWD
