scraped_at,origin,destination,departure_date,return_date,is_identical,url,option_type,price,outbound_airline,inbound_airline,outbound_flight_number,inbound_flight_number,outbound_stops,inbound_stops,outbound_baggage,inbound_baggage,outbound_time,inbound_time
2026-09-13 16:06:13:688,TPE,KMQ,2026-09-14,2026-09-21,True,https://www.google.com/travel/flights?q=Flights%20to%20KMQ%20from%20TPE%20on%202026-09-14%20through%202026-09-21&hl=zh-TW&curr=TWD,最低價方案,"台幣 $16,264(含稅)",長榮航空,長榮航空,BR 158,BR 157,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李免費,免費攜帶 1 件手提行李、第 1 件託運行李免費,AM 6:35 ~ AM 10:25,AM 11:45 ~ PM 1:55
2026-09-13 16:06:13:688,TPE,KMQ,2026-09-14,2026-09-21,True,https://www.google.com/travel/flights?q=Flights%20to%20KMQ%20from%20TPE%20on%202026-09-14%20through%202026-09-21&hl=zh-TW&curr=TWD,最佳方案(與最低價相同),"台幣 $16,264(含稅)",長榮航空,長榮航空,BR 158,BR 157,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李免費,免費攜帶 1 件手提行李、第 1 件託運行李免費,AM 6:35 ~ AM 10:25,AM 11:45 ~ PM 1:55
2026-09-13 16:06:48:169,TPE,KMQ,2026-09-15,2026-09-22,True,https://www.google.com/travel/flights?q=Flights%20to%20KMQ%20from%20TPE%20on%202026-09-15%20through%202026-09-22&hl=zh-TW&curr=TWD,最低價方案,"台幣 $16,264(含稅)",長榮航空,長榮航空,BR 158,BR 157,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李免費,免費攜帶 1 件手提行李、第 1 件託運行李免費,AM 6:35 ~ AM 10:25,AM 11:45 ~ PM 1:55
2026-09-13 16:06:48:169,TPE,KMQ,2026-09-15,2026-09-22,True,https://www.google.com/travel/flights?q=Flights%20to%20KMQ%20from%20TPE%20on%202026-09-15%20through%202026-09-22&hl=zh-TW&curr=TWD,最佳方案(與最低價相同),"台幣 $16,264(含稅)",長榮航空,長榮航空,BR 158,BR 157,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李免費,免費攜帶 1 件手提行李、第 1 件託運行李免費,AM 6:35 ~ AM 10:25,AM 11:45 ~ PM 1:55
2026-09-13 16:07:17:756,TPE,KMQ,2026-09-16,2026-09-23,True,https://www.google.com/travel/flights?q=Flights%20to%20KMQ%20from%20TPE%20on%202026-09-16%20through%202026-09-23&hl=zh-TW&curr=TWD,最低價方案,"台幣 $16,264(含稅)",長榮航空,長榮航空,BR 158,BR 157,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李免費,免費攜帶 1 件手提行李、第 1 件託運行李免費,AM 6:35 ~ AM 10:25,AM 11:45 ~ PM 1:55
2026-09-13 16:07:17:756,TPE,KMQ,2026-09-16,2026-09-23,True,https://www.google.com/travel/flights?q=Flights%20to%20KMQ%20from%20TPE%20on%202026-09-16%20through%202026-09-23&hl=zh-TW&curr=TWD,最佳方案(與最低價相同),"台幣 $16,264(含稅)",長榮航空,長榮航空,BR 158,BR 157,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李免費,免費攜帶 1 件手提行李、第 1 件託運行李免費,AM 6:35 ~ AM 10:25,AM 11:45 ~ PM 1:55
2026-09-13 16:07:47:320,TPE,KMQ,2026-09-17,2026-09-24,True,https://www.google.com/travel/flights?q=Flights%20to%20KMQ%20from%20TPE%20on%202026-09-17%20through%202026-09-24&hl=zh-TW&curr=TWD,最低價方案,"台幣 $16,264(含稅)",長榮航空,長榮航空,BR 158,BR 157,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李免費,免費攜帶 1 件手提行李、第 1 件託運行李免費,AM 6:35 ~ AM 10:25,AM 11:45 ~ PM 1:55
2026-09-13 16:07:47:320,TPE,KMQ,2026-09-17,2026-09-24,True,https://www.google.com/travel/flights?q=Flights%20to%20KMQ%20from%20TPE%20on%202026-09-17%20through%202026-09-24&hl=zh-TW&curr=TWD,最佳方案(與最低價相同),"台幣 $16,264(含稅)",長榮航空,長榮航空,BR 158,BR 157,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李免費,免費攜帶 1 件手提行李、第 1 件託運行李免費,AM 6:35 ~ AM 10:25,AM 11:45 ~ PM 1:55
2026-09-13 16:08:18:334,TPE,KMQ,2026-09-18,2026-09-25,True,https://www.google.com/travel/flights?q=Flights%20to%20KMQ%20from%20TPE%20on%202026-09-18%20through%202026-09-25&hl=zh-TW&curr=TWD,最低價方案,"台幣 $16,264(含稅)",長榮航空,長榮航空,BR 158,BR 157,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李免費,免費攜帶 1 件手提行李、第 1 件託運行李免費,AM 6:35 ~ AM 10:25,AM 11:45 ~ PM 1:55
2026-09-13 16:08:18:334,TPE,KMQ,2026-09-18,2026-09-25,True,https://www.google.com/travel/flights?q=Flights%20to%20KMQ%20from%20TPE%20on%202026-09-18%20through%202026-09-25&hl=zh-TW&curr=TWD,最佳方案(與最低價相同),"台幣 $16,264(含稅)",長榮航空,長榮航空,BR 158,BR 157,直達,直達,免費攜帶 1 件手提行李、第 1 件託運行李免費,免費攜帶 1 件手提行李、第 1 件託運行李免費,AM 6:35 ~ AM 10:25,AM 11:45 ~ PM 1:55
2026-09-13 16:08:57:974,TPE,BUD,2026-09-14,2026-09-28,False,https://www.google.com/travel/flights?q=Flights%20to%20BUD%20from%20TPE%20on%202026-09-14%20through%202026-09-28&hl=zh-TW&curr=TWD,最低價方案,台幣 NT$0(含稅),中國東方航空、上海航空,上海航空、上海吉祥航空中國東方航空,TK 125,FM 870,轉機1次,轉機1次,行李額度未明,行李額度未明,PM 6:40 ~ AM 8:05,PM 12:30 ~ AM 11:00
2026-09-13 16:08:57:974,TPE,BUD,2026-09-14,2026-09-28,False,https://www.google.com/travel/flights?q=Flights%20to%20BUD%20from%20TPE%20on%202026-09-14%20through%202026-09-28&hl=zh-TW&curr=TWD,最佳方案,"台幣 $31,809(含稅)",土耳其航空,土耳其航空,TK 125,TK 1038,轉機1次,轉機1次,免費攜帶 1 件手提行李、第 1 件託運行李免費,免費攜帶 1 件手提行李、第 1 件託運行李免費,AM 9:40 ~ AM 8:05,PM 8:35 ~ AM 8:05
2026-09-13 16:09:28:938,TPE,BUD,2026-09-15,2026-09-29,True,https://www.google.com/travel/flights?q=Flights%20to%20BUD%20from%20TPE%20on%202026-09-15%20through%202026-09-29&hl=zh-TW&curr=TWD,最低價方案,"台幣 $36,043(含稅)",阿聯酋航空澳洲航空,阿聯酋航空,EK 367,EK 112,轉機1次,轉機1次,免費攜帶 1 件手提行李、可免費託運 2 件行李,免費攜帶 1 件手提行李、可免費託運 2 件行李,PM 11:50 ~ PM 1:55,PM 3:50 ~ PM 4:35
2026-09-13 16:09:28:938,TPE,BUD,2026-09-15,2026-09-29,True,https://www.google.com/travel/flights?q=Flights%20to%20BUD%20from%20TPE%20on%202026-09-15%20through%202026-09-29&hl=zh-TW&curr=TWD,最佳方案(與最低價相同),"台幣 $36,043(含稅)",阿聯酋航空澳洲航空,阿聯酋航空,EK 367,EK 112,轉機1次,轉機1次,免費攜帶 1 件手提行李、可免費託運 2 件行李,免費攜帶 1 件手提行李、可免費託運 2 件行李,PM 11:50 ~ PM 1:55,PM 3:50 ~ PM 4:35
2026-09-13 16:10:12:391,TPE,BUD,2026-09-16,2026-09-30,False,https://www.google.com/travel/flights?q=Flights%20to%20BUD%20from%20TPE%20on%202026-09-16%20through%202026-09-30&hl=zh-TW&curr=TWD,最低價方案,台幣 NT$0(含稅),中國東方航空、上海航空,上海航空、上海吉祥航空中國東方航空,TG 635,FM 870,轉機1次,轉機1次,行李額度未明,行李額度未明,PM 6:40 ~ AM 8:05,PM 12:30 ~ AM 11:00
2026-09-13 16:10:12:391,TPE,BUD,2026-09-16,2026-09-30,False,https://www.google.com/travel/flights?q=Flights%20to%20BUD%20from%20TPE%20on%202026-09-16%20through%202026-09-30&hl=zh-TW&curr=TWD,最佳方案,"台幣 $26,809(含稅)",土耳其航空,土耳其航空,TK 125,TK 1038,轉機1次,轉機1次,免費攜帶 1 件手提行李、第 1 件託運行李免費,免費攜帶 1 件手提行李、第 1 件託運行李免費,AM 9:35 ~ PM 7:40,PM 8:35 ~ PM 5:55
2026-09-13 16:10:53:647,TPE,BUD,2026-09-17,2026-10-01,False,https://www.google.com/travel/flights?q=Flights%20to%20BUD%20from%20TPE%20on%202026-09-17%20through%202026-10-01&hl=zh-TW&curr=TWD,最低價方案,台幣 NT$0(含稅),中國國際航空,中國國際航空,CA 190,CA 720,轉機1次,轉機1次,行李額度未明,行李額度未明,PM 6:40 ~ AM 7:00,PM 1:00 ~ AM 11:40
2026-09-13 16:10:53:647,TPE,BUD,2026-09-17,2026-10-01,False,https://www.google.com/travel/flights?q=Flights%20to%20BUD%20from%20TPE%20on%202026-09-17%20through%202026-10-01&hl=zh-TW&curr=TWD,最佳方案,"台幣 $38,693(含稅)",阿聯酋航空澳洲航空,阿聯酋航空,EK 367,EK 112,轉機1次,轉機1次,免費攜帶 1 件手提行李、可免費託運 2 件行李,免費攜帶 1 件手提行李、可免費託運 2 件行李,PM 11:50 ~ PM 1:55,PM 3:50 ~ PM 9:40
2026-09-13 16:11:35:007,TPE,BUD,2026-09-18,2026-10-02,False,https://www.google.com/travel/flights?q=Flights%20to%20BUD%20from%20TPE%20on%202026-09-18%20through%202026-10-02&hl=zh-TW&curr=TWD,最低價方案,台幣 NT$0(含稅),中國東方航空、上海航空,中華航空,TG 635,FM 870,轉機1次,轉機1次,行李額度未明,行李額度未明,PM 6:40 ~ AM 8:05,PM 12:30 ~ PM 2:05
